layer,rank,theta,score
11,4,0.3,   -0.009520730187460469
11,4,0.6,   0.0032490602737413887
11,4,1,     0.0
11,8,0.3,   0.011358412572428644
11,8,0.6,   0.01224533775858827
11,8,1,     4.440892098500626e-16
11,16,0.3,  -0.003976909412210405
11,16,0.6,  -0.0015439079721109028
11,16,1,    4.440892098500626e-16
11,32,0.3,  0.0034718136923466147
11,32,0.6,  0.0017241284836155835
11,32,1,    4.440892098500626e-16
11,64,0.3,  0.052553135673227835
11,64,0.6,  0.05471806053018691
11,64,1,    -8.881784197001252e-16